
nk	Name	English Name	Country	Population	Remark
242	Taizhou	Taizhou	China	2,000,000	
244	Bruxelles	Brussels	Belgium	1,990,000	
244	Sacramento	Sacramento	United States of America	1,990,000	
244	Semarang	Semarang	Indonesia	1,990,000	
247	Yantai	Yantai	China	1,980,000	
248	Barranquilla	Barranquilla	Colombia	1,970,000	
248	Ouagadougou	Ouagadougou	Burkina Faso	1,970,000	
248	San Antonio	San Antonio	United States of America	1,970,000	
248	Vadodara	Vadodara	India	1,970,000	
252	Santa Cruz	Santa Cruz	Bolivia	1,950,000	
252	Tijuana	Tijuana	Mexico	1,950,000	
254	Cixi	Cixi	China	1,940,000	
255	Āgra	Agra	India	1,930,000	
255	Valencia	Valencia	Venezuela	1,930,000	
257	Minsk	Minsk	Belarus	1,920,000	
257	Stuttgart	Stuttgart	Germany	1,920,000	
259	Kansas City	Kansas City	United States of America	1,910,000	
260	Indianapolis	Indianapolis	United States of America	1,900,000	
260	Perth	Perth	Australia	1,900,000	
260	Port Harcourt	Port Harcourt	Nigeria	1,900,000	
260	Visākhapatnam	Vishakhapatnam	India	1,900,000	
264	Bursa	Bursa	Turkey	1,870,000	
264	Hiroshima	Hiroshima	Japan	1,870,000	
266	San Salvador	San Salvador	El Salvador	1,860,000	
267	Vitória	Vitória	Brazil	1,850,000	
268	Ad-Dawḥah	Doha	Qatar	1,830,000	
268	Liverpool	Liverpool	Great Britain	1,830,000	
268	Santos	Santos	Brazil	1,830,000	
271	Conakry	Conakry	Guinea	1,820,000	
272	Dubayy	Dubai	United Arab Emirates	1,800,000	
272	León	León	Mexico	1,800,000	
274	Peshāwar	Peshawar	Pakistan	1,790,000	
274	San José	San José	Costa Rica	1,790,000	
276	Montevideo	Montevideo	Uruguay	1,780,000	
277	Brazzaville	Brazzaville	Congo (Rep.)	1,770,000	
277	Daqing	Daqing	China	1,770,000	
277	Liuzhou	Liuzhou	China	1,770,000	
280	Lubumbashi	Lubumbashi	Congo (Dem. Rep.)	1,760,000	
280	Makkah	Mecca	Saudi Arabia	1,760,000	
280	Quito	Quito	Ecuador	1,760,000	
283	Ludhiāna	Ludhiana	India	1,750,000	
283	Meerut	Meerut	India	1,750,000	
285	Nāshik	Nasik	India	1,740,000	
285	Nižnij Novgorod	Nizhny Novgorod	Russia	1,740,000	
287	Mbuji-Mayi	Mbuji-Mayi	Congo (Dem. Rep.)	1,730,000	
288	Hartford	Hartford	United States of America	1,720,000	incl. Springfield, MA
288	Huai'an	Huai'an	China	1,720,000	
288	Köln	Cologne	Germany	1,720,000	
291	Luoyang	Luoyang	China	1,700,000	
291	Yangzhou	Yangzhou	China	1,700,000	
293	Almaty	Alma-Ata	Kazakhstan	1,690,000	
293	Makassar	Makassar	Indonesia	1,690,000	
295	Huainan	Huainan	China	1,680,000	
295	Kaduna	Kaduna	Nigeria	1,680,000	
295	Kochi	Cochin	India	1,680,000	
295	Vijayawāda	Vijayawada	India	1,680,000	
299	Phnum Pénh	Phnom Penh	Cambodia	1,670,000	
300	Charkiv	Kharkov	Ukraine	1,660,000	
300	Haikou	Haikou	China	1,660,000	
302	Adana	Adana	Turkey	1,650,000	
302	Austin	Austin	United States of America	1,650,000	
302	Ghazzah	Gaza	Palestinian Territories	1,650,000	
302	Hohhot	Huhehot	China	1,650,000	
302	Muqdisho	Mogadishu	Somalia	1,650,000	
