subj block task lag t2in correct1 correct2
Francisco b retest 0 0 True 1.00
Francisco b retest 8 1 True 0.00
Francisco b retest 5 1 True 1.00
Francisco b retest 0 0 True 1.00
Francisco b retest 3 1 True 1.00
Francisco b retest 0 0 True 1.00
Francisco b retest 2 1 True 1.00
Francisco b retest 0 0 True 1.00
Francisco b retest 0 0 True 1.00
Francisco b retest 6 1 True 1.00
Francisco b retest 5 1 True 1.00
Francisco b retest 0 0 True 1.00
Francisco b retest 0 0 True 1.00
Francisco b retest 4 1 True 1.00
Francisco b retest 0 0 True 1.00
Francisco b retest 8 1 True 1.00
Francisco b retest 7 1 True 1.00
Francisco b retest 0 0 True 1.00
Francisco b retest 8 1 True 1.00
Francisco b retest 0 0 True 1.00
Francisco b retest 0 0 True 1.00
Francisco b retest 2 1 True 1.00
Francisco b retest 1 1 True 1.00
Francisco b retest 3 1 True 0.00
Francisco b retest 4 1 True 0.00
Francisco b retest 7 1 True 1.00
Francisco b retest 3 1 True 0.00
Francisco b retest 0 0 True 1.00
Francisco b retest 1 1 True 1.00
Francisco b retest 7 1 True 1.00
Francisco b retest 5 1 True 1.00
Francisco b retest 6 1 True 1.00
Francisco b retest 8 1 True 0.00
Francisco b retest 3 1 True 1.00
Francisco b retest 2 1 True 0.00
Francisco b retest 6 1 True 0.00
Francisco b retest 7 1 True 1.00
Francisco b retest 8 1 True 0.00
Francisco b retest 0 0 False 1.00
Francisco b retest 5 1 True 1.00
Francisco b retest 0 0 True 1.00
Francisco b retest 4 1 True 1.00
Francisco b retest 1 1 True 1.00
Francisco b retest 4 1 True 1.00
Francisco b retest 0 0 True 1.00
Francisco b retest 1 1 True 1.00
Francisco b retest 2 1 True 1.00
Francisco b retest 3 1 True 1.00
Francisco b retest 0 0 True 1.00
Francisco b retest 1 1 True 1.00
Francisco b retest 5 1 True 1.00
Francisco b retest 0 0 True 1.00
Francisco b retest 2 1 True 0.00
Francisco b retest 6 1 True 0.00
Francisco b retest 7 1 True 1.00
Francisco b retest 0 0 True 1.00
Francisco b retest 1 1 True 0.00
Francisco b retest 7 1 True 1.00
Francisco b retest 8 1 True 0.00
Francisco b retest 3 1 True 1.00
Francisco b retest 8 1 True 1.00
Francisco b retest 0 0 True 1.00
Francisco b retest 7 1 True 1.00
Francisco b retest 2 1 True 1.00
Francisco b retest 2 1 True 0.00
Francisco b retest 6 1 True 0.00
Francisco b retest 2 1 True 0.00
Francisco b retest 6 1 True 1.00
Francisco b retest 5 1 True 0.00
Francisco b test 4 1 True 0.00
Francisco b test 7 1 True 0.00
Francisco b test 5 1 True 0.00
Francisco b test 8 1 True 0.00
Francisco b test 3 1 True 0.00
Francisco b test 4 1 True 0.00
Francisco b test 1 1 True 1.00
Francisco b test 5 1 True 1.00
Francisco b test 1 1 True 1.00
Francisco b test 3 1 False 0.00
Francisco b test 0 0 True 0.00
Francisco b test 3 1 True 1.00
Francisco b test 8 1 True 0.00
Francisco b test 0 0 True 1.00
Francisco b test 3 1 True 0.00
Francisco b test 2 1 True 1.00
Francisco b test 6 1 True 0.00
Francisco b test 8 1 False 0.00
Francisco b test 3 1 True 0.00
Francisco b test 2 1 True 1.00
Francisco b test 4 1 True 0.00
Francisco b test 2 1 True 0.00
Francisco b test 4 1 True 1.00
Francisco b test 1 1 True 1.00
Francisco b test 6 1 True 0.00
Francisco b test 7 1 True 0.00
Francisco b test 7 1 True 0.00
Francisco b test 0 0 True 1.00
Francisco b test 3 1 True 1.00
Francisco b test 1 1 True 1.00
Francisco b test 0 0 True 1.00
Francisco b test 1 1 True 0.00
Francisco b test 3 1 True 0.00
Francisco b test 6 1 True 0.00
Francisco b test 0 0 True 1.00
Francisco b test 7 1 True 0.00
Francisco b test 0 0 True 1.00
Francisco b test 4 1 True 0.00
Francisco b test 0 0 True 1.00
Francisco b test 0 0 True 1.00
Francisco b test 2 1 True 0.00
Francisco b test 2 1 True 0.00
Francisco b test 0 0 False 1.00
Francisco b test 0 0 True 1.00
Francisco b test 4 1 True 0.00
Francisco b test 1 1 True 1.00
Francisco b test 8 1 True 1.00
Francisco b test 0 0 True 1.00
Francisco b test 0 0 True 1.00
Francisco b test 0 0 True 1.00
Francisco b test 7 1 True 1.00
Francisco b test 0 0 True 1.00
Francisco b test 6 1 False 0.00
Francisco b test 2 1 True 1.00
Francisco b test 6 1 True 1.00
Francisco b test 4 1 True 1.00
Francisco b test 2 1 True 0.00
Francisco b test 0 0 True 0.00
